,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
19,Kavieng,PG,83.12,light rain,-2.57,150.8,Nusa Island Retreat
25,San Onofre,CO,81.63,overcast clouds,9.74,-75.53,Hotel Sinai
26,Dwarka,IN,82.78,broken clouds,22.24,68.97,Hotel Narayan Avezika Comfort
28,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.08,Scoop Guest House
29,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
38,Butaritari,KI,83.89,overcast clouds,3.07,172.79,Isles Sunset Lodge
43,Guasdualito,VE,78.15,overcast clouds,7.24,-70.73,Hotel Cuibas
44,Kharhial,IN,77.59,broken clouds,20.28,82.77,Jeevan Chhaya
45,Marzuq,YE,79.12,scattered clouds,14.4,46.47,
47,Hambantota,LK,79.74,overcast clouds,6.12,81.12,Bungalow 63
48,Moa,CU,81.9,overcast clouds,20.66,-74.94,Renta en Divisa
52,Nhulunbuy,AU,77.0,scattered clouds,-12.23,136.77,East Arnhem Real Estate
53,Surt,LY,77.9,clear sky,31.21,16.59,City Hotel
56,Hasaki,JP,82.4,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
57,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
63,Bam,IR,77.4,clear sky,29.11,58.36,Bam Tourist Hotel
74,Namatanai,PG,83.75,light rain,-3.67,152.43,Namatanai Hotel
75,Kuala Selangor,MY,78.8,few clouds,3.35,101.25,Apps Hotel
77,Port Blair,IN,82.09,overcast clouds,11.67,92.75,Fortune Resort Bay Island
80,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
82,Sao Filipe,CV,77.95,scattered clouds,14.9,-24.5,Tortuga B&B
84,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
90,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
91,Natal,BR,75.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
96,Torrington,US,75.0,scattered clouds,41.8,-73.12,The Yankee Pedlar Inn
98,Atuona,PF,78.42,overcast clouds,-9.8,-139.03,Villa Enata
99,Kerema,PG,80.49,broken clouds,-7.96,145.78,Elore Lodge
106,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
108,Alice Town,BS,83.73,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
109,Najran,SA,77.0,scattered clouds,17.49,44.13,محمد هادي ال فطيح
111,Campbell River,CA,77.0,broken clouds,50.02,-125.24,Ramada by Wyndham Campbell River
114,Pinar Del Rio,CU,82.29,few clouds,22.42,-83.7,Hostal La Colina Dunay y Raul
115,Salinopolis,BR,80.08,few clouds,-0.61,-47.36,Hotel Salinópolis
116,Kismayo,SO,76.35,clear sky,-0.36,42.55,Agan-Hotel
117,Kailua,US,86.0,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
122,Bani Walid,LY,75.67,broken clouds,31.76,13.99,منزل الصابر أبوفانة
123,Buchanan,LR,76.35,light rain,5.88,-10.05,Kamaneahn Hotel Inc
126,Panacan,PH,81.84,overcast clouds,9.25,118.41,Mom's Place Resort
136,Fortuna,US,89.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
138,Kulhudhuffushi,MV,82.13,overcast clouds,6.62,73.07,Haajy Guest House 1
142,Shimoda,JP,75.0,moderate rain,34.67,138.95,Shimoda Tokyu Hotel
143,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
147,Iwanai,JP,78.3,overcast clouds,42.97,140.51,いわない高原ホテル
148,West Bay,KY,87.01,light intensity shower rain,19.37,-81.42,Calypso Cove
149,Tando Jam,PK,82.69,clear sky,25.43,68.54,VC House
156,Umm Kaddadah,SD,83.01,light rain,13.6,26.69,
158,Victoria,HK,84.0,moderate rain,22.29,114.16,Mini Hotel Central
159,San-Pedro,CI,75.45,overcast clouds,4.75,-6.64,Hotel Maria
165,Samana,DO,84.2,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
166,Cayenne,GF,80.6,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
168,Agua Dulce,MX,84.2,broken clouds,18.13,-94.13,Hotel Victoria
169,Bengkulu,ID,75.02,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
170,Marsh Harbour,BS,84.4,overcast clouds,26.54,-77.06,Abaco Beach Resort
172,Cam Ranh,VN,80.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
182,Utinga,BR,75.2,broken clouds,-5.82,-35.4,Chacara Oásis
183,Vaitape,PF,78.94,light rain,-16.52,-151.75,Conrad Bora Bora Nui
187,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
188,Harper,LR,76.51,overcast clouds,4.38,-7.72,Screensaver
191,Vanimo,PG,82.72,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
192,Rio Branco,BR,89.6,broken clouds,-9.97,-67.81,João Paulo Hotel
196,Tsuyama,JP,87.8,broken clouds,35.05,134.0,Tsuyama Central Hotel Annex
203,Tiznit,MA,83.8,clear sky,29.58,-9.5,
204,Sompeta,IN,80.69,scattered clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
206,Honiara,SB,84.2,scattered clouds,-9.43,159.95,Heritage Park Hotel
207,Gombong,ID,75.69,overcast clouds,-7.61,109.51,Grafika Hotel Dan Restoran
209,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
211,Suez,EG,76.1,clear sky,29.97,32.53,Green House
216,Nova Olimpia,BR,84.74,clear sky,-14.8,-57.29,Motel glamour
218,Shenjiamen,CN,77.54,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
223,Freeport,US,77.0,clear sky,40.66,-73.58,The Freeport Inn and Marina
227,Labuhan,ID,76.91,broken clouds,-6.88,112.21,bador sepret
228,Kuala Terengganu,MY,77.0,scattered clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
232,Bandarbeyla,SO,75.67,broken clouds,9.49,50.81,REER XOOSHLE GROUP
243,Jalu,LY,76.89,clear sky,29.03,21.55,Jalu Hotel
244,Bethel,US,75.2,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
247,Nabire,ID,79.93,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
250,Korla,CN,77.0,broken clouds,41.76,86.15,Gulisitan Hotel
251,Banjarmasin,ID,77.0,scattered clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
252,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
255,Port Moresby,PG,80.6,smoke,-9.44,147.18,Lamana Hotel
258,Mancio Lima,BR,83.07,overcast clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
259,Juegang,CN,79.0,light rain,32.32,121.19,Rudong Y Hotel
264,Touros,BR,75.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
266,Westport,US,75.99,broken clouds,41.14,-73.36,The Westport Inn
272,Santa Marta,CO,77.0,broken clouds,11.24,-74.2,Hotel La Ballena Azul
273,Itarema,BR,78.03,scattered clouds,-2.92,-39.92,Windvillage
274,Hobyo,SO,76.08,clear sky,5.35,48.53,Osmani Hotel
275,Progreso,MX,90.0,broken clouds,21.28,-89.67,Playa Linda Hotel
281,Kandiari,PK,88.3,clear sky,26.92,68.52,Birohi Tailors
285,Shirvan,AZ,75.69,clear sky,39.95,48.9,Hotel Empire
289,Kilindoni,TZ,75.67,clear sky,-7.91,39.67,Bustani B&B
