,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mujiayingzi,CN,42.12,118.78,66.36,76,46,12.53,scattered clouds
1,Pevek,RU,69.7,170.31,43.72,71,58,14.41,broken clouds
2,Geraldton,AU,-28.77,114.6,62.6,67,75,11.41,broken clouds
3,Rikitea,PF,-23.12,-134.97,73.29,85,0,10.18,clear sky
4,Mataura,NZ,-46.19,168.86,55.27,54,100,3.85,overcast clouds
5,Hilo,US,19.73,-155.09,84.2,62,90,10.29,overcast clouds
6,Port Alfred,ZA,-33.59,26.89,57.9,87,25,8.08,scattered clouds
7,Port Elizabeth,ZA,-33.92,25.57,57.2,93,75,3.36,broken clouds
8,Flin Flon,CA,54.77,-101.86,40.17,70,5,7.56,clear sky
9,Ilulissat,GL,69.22,-51.1,37.4,74,81,11.41,broken clouds
10,Yilan,TW,24.76,121.75,88.0,51,40,3.36,scattered clouds
11,Morgan City,US,29.7,-91.21,82.4,74,1,3.36,clear sky
12,Barrow,US,71.29,-156.79,42.8,75,20,10.29,few clouds
13,Bredasdorp,ZA,-34.53,20.04,44.6,93,0,5.82,clear sky
14,Ushuaia,AR,-54.8,-68.3,37.4,86,0,6.93,clear sky
15,Butaritari,KI,3.07,172.79,83.82,73,100,15.41,overcast clouds
16,Iqaluit,CA,63.75,-68.51,44.01,65,75,11.41,broken clouds
17,Midland,US,32.0,-102.08,87.8,31,1,12.75,clear sky
18,Tauramena,CO,5.02,-72.75,71.56,83,90,4.76,overcast clouds
19,Ribeira Grande,PT,38.52,-28.7,69.31,73,36,23.2,scattered clouds
20,Albany,US,42.6,-73.97,62.01,69,0,1.1,clear sky
21,Kaitangata,NZ,-46.28,169.85,55.99,53,99,8.99,light rain
22,Tuktoyaktuk,CA,69.45,-133.04,44.6,58,20,13.87,few clouds
23,Saint-Georges,GD,12.06,-61.75,80.6,83,20,8.05,few clouds
24,Hovd,MN,48.01,91.64,60.3,45,100,7.85,moderate rain
25,Jaisalmer,IN,26.91,70.92,82.96,68,0,13.02,clear sky
26,Boone,US,39.03,-92.33,82.99,68,56,12.1,broken clouds
27,Saint-Pierre,RE,-21.34,55.48,68.0,72,3,5.82,clear sky
28,Kaspiysk,RU,42.88,47.64,69.8,83,86,2.24,overcast clouds
29,Qaanaaq,GL,77.48,-69.36,21.27,82,0,4.94,clear sky
30,Leon,MX,21.12,-101.67,68.0,72,75,5.82,broken clouds
31,Clyde River,CA,70.47,-68.59,37.4,79,90,18.34,overcast clouds
32,Zheleznodorozhnyy,RU,55.75,38.0,55.4,87,100,4.47,light rain
33,Lagos,NG,6.58,3.75,73.53,89,91,4.09,overcast clouds
34,Taltal,CL,-25.4,-70.48,56.21,71,0,3.27,clear sky
35,Venkatagiri,IN,13.97,79.58,80.6,88,20,1.21,few clouds
36,Toamasina,MG,-18.17,49.38,66.2,93,75,6.93,shower rain
37,Georgetown,MY,5.41,100.34,80.6,88,20,5.82,few clouds
38,Lebu,CL,-37.62,-73.65,48.51,88,2,8.68,clear sky
